steps,return
28800.0,579.9866981450209
57600.0,1369.9934159836203
86400.0,1386.5320813986732
115200.0,1339.5300253713856
144000.0,1406.348790171227
172800.0,1400.6469725556624
201600.0,1404.2911645725756
230400.0,1415.5671578382744
259200.0,1353.5362235272628
288000.0,1415.4670854636795
316800.0,1412.7750083682538
345600.0,1428.3622825036973
374400.0,1436.039162367291
403200.0,1366.6291079443236
432000.0,1415.1268497454676
460800.0,1409.011653974526
489600.0,1438.7904901696002
518400.0,1432.9302852279563
547200.0,1373.2526940563348
576000.0,1410.0262941983106
604800.0,1408.9746325861145
633600.0,1448.7796617697395
662400.0,1440.1498081878578
