steps,return
0,318.00186359985076
1,316.64484694395463
2,315.79043592370624
3,316.9510700922384
4,317.23068694148134
5,317.1798637736291
6,316.1578202968759
7,316.90016273941745
8,316.4754851138077
9,316.80362077802096
10,315.8323913759293
11,316.79631970420405
12,316.77720236392514
13,317.94442425296916
14,316.68375754708404
15,317.2052740803802
16,315.7105653024636
17,317.7783577590203
18,315.72159638862786
19,317.3734863359025
20,316.66477129902864
21,317.770746759215
22,318.6802376177477
23,317.7749436708113
24,317.14499034724776
25,317.586611797198
26,317.97987083509236
27,317.1619308054537
28,317.1951353896712
29,316.1233131497805
30,318.319332643848
31,316.692837051455
32,317.16242357265617
33,318.19965385324446
34,316.57332782971434
35,318.2161172328004
36,317.8274481508686
37,317.3883455206052
38,317.7428712376722
39,317.7529513442092
40,315.52363836960654
41,318.6033671527647
42,318.41276725381664
43,317.98959348690045
44,317.0469731642316
45,317.8669349993187
46,318.6180555367507
47,317.1191302385585
48,316.3344090497399
49,317.7262542945823
50,316.3138771563451
51,318.44567527925864
52,316.8130676261007
53,317.91701868944136
54,318.84495282769046
55,318.6844801022656
56,318.15619433000785
57,318.1827024649495
58,318.93927301052383
59,319.0244972516476
60,318.509813086866
61,318.86202193352045
62,318.6291015915132
63,319.52996371163437
64,318.9195489750037
65,318.8692501697387
66,319.3432478893694
67,318.5065577080763
68,319.29379586535623
69,317.8368158753202
70,319.5665213660656
71,319.6475197076972
72,317.57648523152136
73,319.2769394803009
74,318.96638822211736
75,319.6627358764545
76,319.88690002544706
77,319.15879474691565
78,319.60608785348944
79,319.4984382793586
80,319.0060833711729
81,318.9797739180324
82,319.01806700440454
83,319.7214382240365
84,318.529558467761
85,319.4419503505507
86,319.5768418109646
87,319.3340142656788
88,318.6198443019531
89,321.0681565993952
90,320.1736949434307
91,319.401905584645
92,319.38172983267384
93,318.0350529089029
94,318.2402253263151
95,318.1683578866198
96,317.71681493563915
97,317.794822021126
98,320.41008404786453
99,319.79501635142464
100,317.09791834530847
101,319.08414230580854
102,320.6014600763362
103,320.411032543428
104,319.35881168343974
105,319.62855700883387
