steps,return
25200.0,-35.33360000000003
50400.0,-40.950900000000026
75600.0,-22.451000000000004
100800.0,-22.3112
126000.0,-29.719199999999994
151200.0,-41.904
176400.0,-27.330700000000004
201600.0,-34.04160000000001
226800.0,-24.3061
252000.0,-36.670499999999976
277200.0,-25.5169
302400.0,-17.5498
327600.0,-23.583600000000008
352800.0,-20.66050000000002
378000.0,-44.1713
403200.0,-18.82049999999998
428400.0,-32.9468
453600.0,-27.838699999999992
478800.0,-37.13919999999999
504000.0,-26.194700000000008
529200.0,-29.511100000000017
554400.0,-23.352600000000013
579600.0,-20.534799999999983
604800.0,-40.84640000000003
