steps,return
12600.0,-24.332900000000002
25200.0,-26.45450000000001
37800.0,-25.653299999999987
50400.0,-23.972900000000003
63000.0,-35.47819999999999
75600.0,-27.19580000000002
88200.0,-38.11569999999999
100800.0,-29.449900000000003
113400.0,-20.2073
126000.0,-20.752600000000005
138600.0,-15.6032
151200.0,-25.9078
163800.0,-32.2742
176400.0,-24.459599999999988
189000.0,-21.816900000000018
201600.0,-14.845000000000002
214200.0,-17.832600000000003
226800.0,-33.5949
239400.0,-16.249500000000005
252000.0,-15.842800000000002
264600.0,-24.55759999999998
277200.0,-37.856700000000004
289800.0,-20.17289999999999
302400.0,-17.693400000000004
315000.0,-15.815899999999994
327600.0,-26.477499999999996
340200.0,-24.067099999999996
352800.0,-16.457899999999995
365400.0,-16.155100000000008
378000.0,-34.48009999999998
390600.0,-21.3827
403200.0,-30.692300000000003
415800.0,-22.475500000000004
428400.0,-15.767399999999995
441000.0,-19.947499999999998
453600.0,-18.110400000000002
466200.0,-20.657099999999993
478800.0,-16.067000000000007
491400.0,-21.853999999999996
504000.0,-28.616200000000006
516600.0,-24.5163
529200.0,-20.636999999999997
541800.0,-18.891800000000003
554400.0,-15.193800000000007
567000.0,-16.846499999999995
579600.0,-16.61779999999999
592200.0,-16.978299999999994
604800.0,-25.441500000000016
617400.0,-19.100699999999986
630000.0,-32.207
642600.0,-15.288800000000004
655200.0,-15.190400000000006
667800.0,-15.710400000000003
680400.0,-13.541700000000004
693000.0,-17.702199999999998
705600.0,-14.360899999999996
718200.0,-21.1666
730800.0,-31.006800000000013
743400.0,-17.668300000000002
756000.0,-12.287800000000006
768600.0,-11.334200000000004
781200.0,-10.916899999999996
793800.0,-10.437399999999998
806400.0,-11.933100000000005
819000.0,-9.4015
831600.0,-10.551800000000002
844200.0,-13.286099999999996
856800.0,-29.880700000000004
869400.0,-9.862899999999998
882000.0,-14.065000000000003
894600.0,-11.684500000000005
907200.0,-9.649
919800.0,-10.967999999999993
932400.0,-9.290699999999994
945000.0,-29.266399999999976
957600.0,-11.779000000000003
970200.0,-21.405100000000015
982800.0,-9.5241
995400.0,-10.238600000000003
1008000.0,-10.8969
1020600.0,-10.5348
1033200.0,-10.802899999999998
1045800.0,-9.585800000000003
1058400.0,-10.3336
1071000.0,-11.766100000000003
1083600.0,-12.413699999999988
1096200.0,-9.065099999999996
1108800.0,-9.544000000000006
1121400.0,-10.337699999999998
1134000.0,-10.288499999999994
1146600.0,-10.576799999999999
1159200.0,-9.276200000000003
1171800.0,-10.4615
1184400.0,-10.990799999999993
1197000.0,-12.459299999999997
1209600.0,-9.143299999999996
1222200.0,-9.271199999999999
1234800.0,-10.173100000000005
1247400.0,-9.774
1260000.0,-10.318100000000003
1272600.0,-9.391300000000001
1285200.0,-10.566400000000002
1297800.0,-9.8368
1310400.0,-19.457000000000008
1323000.0,-8.7942
1335600.0,-10.030099999999994
1348200.0,-9.781700000000004
1360800.0,-9.857999999999999
1373400.0,-10.766099999999998
1386000.0,-9.285900000000003
1398600.0,-13.998900000000004
1411200.0,-9.359
1423800.0,-13.604699999999998
1436400.0,-8.694600000000003
1449000.0,-11.261300000000002
1461600.0,-9.390600000000006
1474200.0,-9.621499999999994
1486800.0,-11.424399999999995
1499400.0,-8.7605
1512000.0,-10.231399999999999
1524600.0,-9.658799999999996
1537200.0,-12.6918
1549800.0,-8.328500000000002
1562400.0,-8.3382
1575000.0,-8.1085
1587600.0,-9.745199999999997
1600200.0,-10.898300000000003
1612800.0,-8.824799999999998
1625400.0,-9.503500000000003
1638000.0,-8.667100000000003
1650600.0,-10.381000000000002
1663200.0,-7.5347
1675800.0,-8.857599999999996
1688400.0,-8.653500000000006
1701000.0,-9.474799999999998
1713600.0,-9.785200000000001
1726200.0,-8.3058
1738800.0,-9.2464
1751400.0,-8.807300000000003
1764000.0,-9.5284
1776600.0,-6.979599999999998
1789200.0,-7.445799999999995
1801800.0,-7.4706
1814400.0,-9.133500000000002
1827000.0,-9.791599999999999
1839600.0,-7.761499999999995
1852200.0,-8.833400000000001
1864800.0,-8.583900000000003
1877400.0,-9.190499999999995
1890000.0,-6.605799999999998
1902600.0,-7.444100000000002
1915200.0,-6.884700000000002
1927800.0,-8.817399999999997
1940400.0,-9.129099999999998
1953000.0,-7.802400000000002
1965600.0,-8.511900000000006
1978200.0,-8.2498
1990800.0,-9.173000000000004
2003400.0,-6.381700000000003
2016000.0,-7.000199999999998
2028600.0,-6.701199999999997
2041200.0,-8.793399999999997
2053800.0,-9.545100000000001
2066400.0,-7.5887
2079000.0,-9.000200000000001
2091600.0,-7.784000000000007
2104200.0,-9.082700000000008
2116800.0,-6.278700000000002
2129400.0,-7.026000000000002
2142000.0,-6.782499999999998
2154600.0,-8.600800000000001
2167200.0,-8.713999999999995
2179800.0,-7.350199999999996
2192400.0,-8.141000000000004
2205000.0,-8.277599999999996
2217600.0,-8.660900000000005
2230200.0,-6.183999999999995
2242800.0,-6.859699999999993
2255400.0,-6.518500000000002
2268000.0,-9.107699999999992
2280600.0,-8.95470000000001
2293200.0,-7.7708
2305800.0,-8.889600000000003
2318400.0,-7.779399999999998
2331000.0,-8.499499999999998
2343600.0,-6.139499999999998
2356200.0,-6.653000000000001
2368800.0,-6.524699999999998
2381400.0,-9.196999999999997
2394000.0,-8.937500000000002
2406600.0,-7.649800000000001
2419200.0,-7.933
2431800.0,-8.169900000000004
2444400.0,-8.549099999999994
2457000.0,-6.160300000000001
2469600.0,-6.8504000000000005
2482200.0,-6.6541
2494800.0,-9.832000000000003
2507400.0,-8.925400000000002
2520000.0,-7.5505999999999975
2532600.0,-8.320700000000006
2545200.0,-9.952500000000004
2557800.0,-8.581500000000002
2570400.0,-5.926999999999999
2583000.0,-6.737500000000002
2595600.0,-5.9691
2608200.0,-8.506000000000002
2620800.0,-8.948299999999996
2633400.0,-7.920099999999999
2646000.0,-8.726700000000003
2658600.0,-10.2448
2671200.0,-8.5097
2683800.0,-5.895699999999999
2696400.0,-6.638599999999999
2709000.0,-5.918799999999997
2721600.0,-8.4326
2734200.0,-8.9214
2746800.0,-7.422999999999999
2759400.0,-8.178400000000005
2772000.0,-9.8656
2784600.0,-8.791099999999991
2797200.0,-5.833700000000005
2809800.0,-6.795700000000003
2822400.0,-6.078799999999999
2835000.0,-9.506500000000006
2847600.0,-9.074899999999996
2860200.0,-7.163099999999998
2872800.0,-8.803099999999993
2885400.0,-11.255700000000004
2898000.0,-8.7866
2910600.0,-5.4565
2923200.0,-6.546300000000001
2935800.0,-5.775900000000003
2948400.0,-9.078200000000006
2961000.0,-8.6768
2973600.0,-7.372900000000006
2986200.0,-8.688799999999999
2998800.0,-9.925000000000002
3011400.0,-8.882300000000003
3024000.0,-5.267999999999998
3036600.0,-6.489099999999997
3049200.0,-5.797300000000003
3061800.0,-8.3397
3074400.0,-8.42
3087000.0,-8.054400000000003
3099600.0,-8.794799999999997
3112200.0,-12.317999999999993
3124800.0,-9.0937
3137400.0,-5.6522
3150000.0,-6.429299999999997
3162600.0,-5.696500000000001
3175200.0,-8.604099999999999
3187800.0,-9.461499999999997
3200400.0,-7.685899999999999
3213000.0,-9.5829
3225600.0,-19.227300000000014
3238200.0,-10.3321
3250800.0,-5.340199999999999
3263400.0,-6.506700000000007
3276000.0,-5.709
3288600.0,-8.599
3301200.0,-8.7327
3313800.0,-7.779800000000001
3326400.0,-8.718599999999993
3339000.0,-8.318399999999997
3351600.0,-9.323700000000008
3364200.0,-5.299699999999993
3376800.0,-6.479800000000002
3389400.0,-5.657999999999998
3402000.0,-8.740299999999992
3414600.0,-8.662099999999995
3427200.0,-7.916399999999998
3439800.0,-8.468800000000002
3452400.0,-9.949899999999998
3465000.0,-9.3469
3477600.0,-5.427899999999998
3490200.0,-6.386800000000004
3502800.0,-6.146200000000001
3515400.0,-8.623300000000002
3528000.0,-8.696699999999998
3540600.0,-7.821999999999999
3553200.0,-7.461700000000001
3565800.0,-7.924200000000002
3578400.0,-8.552699999999996
3591000.0,-5.154200000000001
3603600.0,-6.358000000000001
3616200.0,-5.9023
